path	branch	head	dirty_entries	ignored_evidence_files	node_modules	node_modules_kind	node_modules_target	dist_dirs	has_public	has_artifacts	has_test_results	merged_into_ship	structural_size_class
C:/Users/david/Documents/Codex/aa65flash	contrib/dave-gaming-pc/codex/pass65-flash-authority-audio	9ea99362	0	4	yes	link	/c/Users/david/Documents/Codex/2026-07-25/prepare-a-large-and-elaborate-plan/work/atomic-acres-pass65-integration/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/Documents/Codex/aa65gtao	contrib/dave-gaming-pc/codex/pass65-webgpu-gtao	0d0272ec	0	7	yes	link	/c/Users/david/Documents/Codex/2026-07-25/prepare-a-large-and-elaborate-plan/work/atomic-acres-pass65-integration/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/Documents/Codex/aa65hitl	contrib/dave-gaming-pc/codex/pass65-hitl-identity	180ed738	0	7	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/Documents/Codex/aa65ksb	contrib/dave-gaming-pc/codex/pass65-killstreak-blockers	2d52aeae	2	5	yes	link	/c/Users/david/Documents/Codex/2026-07-25/prepare-a-large-and-elaborate-plan/work/atomic-acres-pass65-integration/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/Documents/Codex/aa65markers	contrib/dave-gaming-pc/codex/pass65-targeting-markers-railgun	4f4c94d2	0	20	yes	link	/c/Users/david/Documents/Codex/2026-07-25/prepare-a-large-and-elaborate-plan/work/atomic-acres-pass65-integration/node_modules	0	yes	yes	no	no	C_installed_nodist
C:/Users/david/Documents/Codex/aa65operator	contrib/dave-gaming-pc/codex/pass65-operator-visual-gate	c62cd6a0	0	22	yes	link	/c/Users/david/Documents/Codex/aa65smoke/node_modules	1	yes	yes	yes	no	B_installed_onedist
C:/Users/david/Documents/Codex/aa65pab	contrib/dave-gaming-pc/codex/pass65-presentation-audio-blockers	4189aee3	0	6	yes	link	/c/Users/david/projects/atomic-acres-browser-arena/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/Documents/Codex/aa65preview	contrib/dave-gaming-pc/codex/pass65-preview-choreography	addb62c5	0	782	yes	real	-	0	yes	yes	no	no	C_installed_nodist
C:/Users/david/Documents/Codex/aa65rail	contrib/dave-gaming-pc/codex/pass65-railgun-authoritative-visual	bec7fd73	0	7	yes	link	/c/Users/david/Documents/Codex/2026-07-25/prepare-a-large-and-elaborate-plan/work/atomic-acres-pass65-integration/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/Documents/Codex/aa65sas	contrib/dave-gaming-pc/codex/pass65-sensory-audio-settings-v2	97742072	0	32	yes	link	/c/Users/david/projects/atomic-acres-production-27e0858/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/Documents/Codex/aa65shed	contrib/dave-gaming-pc/codex/pass65-shed-release-blockers	c307ecb9	1	6	yes	link	/c/Users/david/Documents/Codex/2026-07-25/prepare-a-large-and-elaborate-plan/work/atomic-acres-pass65-integration/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/Documents/Codex/aa65smoke	contrib/dave-gaming-pc/codex/pass65-smoke-authority	f5c7d68f	0	5	yes	link	/c/Users/david/Documents/Codex/2026-07-25/prepare-a-large-and-elaborate-plan/work/atomic-acres-pass65-integration/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/Documents/Codex/aa65vehicles	contrib/dave-gaming-pc/codex/pass65-production-vehicles	5f4d7715	0	626	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/aa-artstyle-cap	(detached)	3b79d9a2	4	0	yes	link	/c/Users/david/projects/atomic-acres-pass74/node_modules	2	yes	no	no	yes	A_installed_multidist
C:/Users/david/projects/aa-base-c736d48c	(detached)	c736d48c	1	1	yes	link	/c/Users/david/projects/atomic-acres-gauntlet/node_modules	28	yes	yes	no	yes	A_installed_multidist
C:/Users/david/projects/aa-baseline-hf396	(detached)	a764005c	0	1	no	-	-	7	yes	yes	no	yes	D_noinstall_dist
C:/Users/david/projects/aa-bisect-c736d48c-omp79	(detached)	c736d48c	1	1	yes	link	/c/Users/david/projects/atomic-acres-gauntlet/node_modules	28	yes	yes	no	yes	A_installed_multidist
